Triangles,Vertices,Meshes,SubMeshes,Model,Path
5198,4808,1,1,Meshy_AI_Conical_Field_Sensor_0713164144_texture,Assets/Models/PhermoneTrap/Meshy_AI_Conical_Field_Sensor_0713164144_texture_fbx/Meshy_AI_Conical_Field_Sensor_0713164144_texture_fbx/Meshy_AI_Conical_Field_Sensor_0713164144_texture.fbx
5131,3752,1,1,Meshy_AI_Kabocha_squash_0623110125_texture,Assets/Models/SquashFruit/Meshy_AI_Kabocha_squash_0623110125_texture_fbx/Meshy_AI_Kabocha_squash_0623110125_texture.fbx
5090,11265,1,1,Meshy_AI_Emerald_Grass_0429083848_texture,Assets/Models/GrasspatchLarge/Meshy_AI_Emerald_Grass_0429083848_texture_fbx/Meshy_AI_Emerald_Grass_0429083848_texture_fbx/Meshy_AI_Emerald_Grass_0429083848_texture.fbx
5084,5022,1,1,Meshy_AI_Shipping_Bin_0420130916_texture,Assets/Models/ShippingBin/Meshy_AI_Shipping_Bin_0420130916_texture_fbx/Meshy_AI_Shipping_Bin_0420130916_texture_fbx/Meshy_AI_Shipping_Bin_0420130916_texture.fbx
5078,7522,1,1,Meshy_AI_Emerging_Sapling_0709133259_texture,Assets/Models/PomeloSprout/Meshy_AI_Emerging_Sapling_0709133259_texture_fbx/Meshy_AI_Emerging_Sapling_0709133259_texture_fbx/Meshy_AI_Emerging_Sapling_0709133259_texture.fbx
5040,5274,1,1,Meshy_AI_Golden_Mangoes_0506043452_texture,Assets/Models/MangoFruit/Meshy_AI_Golden_Mangoes_0506043452_texture_fbx/Meshy_AI_Golden_Mangoes_0506043452_texture_fbx/Meshy_AI_Golden_Mangoes_0506043452_texture.fbx
5029,5864,1,1,Meshy_AI_Banana_Seedling_0709123418_texture,Assets/Models/BananaSprout/Meshy_AI_Banana_Seedling_0709123418_texture_fbx/Meshy_AI_Banana_Seedling_0709123418_texture_fbx/Meshy_AI_Banana_Seedling_0709123418_texture.fbx
4800,5406,1,1,Meshy_AI_Emerging_Seedling_0709134244_texture,Assets/Models/SquashSprout/Meshy_AI_Emerging_Seedling_0709134244_texture_fbx/Meshy_AI_Emerging_Seedling_0709134244_texture_fbx/Meshy_AI_Emerging_Seedling_0709134244_texture.fbx
4796,4654,1,1,Meshy_AI_Pomelo_0506044756_texture,Assets/Models/PomeloFruit/Meshy_AI_Pomelo_0506044756_texture_fbx/Meshy_AI_Pomelo_0506044756_texture_fbx/Meshy_AI_Pomelo_0506044756_texture.fbx
4537,6169,1,1,Meshy_AI_Banana_one_Bulk_0424074719_texture,Assets/Models/BananaFruit/Meshy_AI_Banana_one_Bulk_0424074719_texture_fbx/Meshy_AI_Banana_one_Bulk_0424074719_texture_fbx/Meshy_AI_Banana_one_Bulk_0424074719_texture.fbx
4381,8680,1,1,Meshy_AI_Wooden_Grid_Fence_Pan_0722150201_texture,Assets/Models/Trellis/squash/Meshy_AI_Wooden_Grid_Fence_Pan_0722150201_texture_fbx/Meshy_AI_Wooden_Grid_Fence_Pan_0722150201_texture.fbx
4275,6477,1,1,Meshy_AI_Strawberry_plant_with_0709134806_texture,Assets/Models/StrawberrrySprout/Meshy_AI_Strawberry_plant_with_0709134806_texture_fbx/Meshy_AI_Strawberry_plant_with_0709134806_texture_fbx/Meshy_AI_Strawberry_plant_with_0709134806_texture.fbx
4034,5688,1,1,Meshy_AI_Sapling_with_a_Root_B_0709131443_texture,Assets/Models/MangoSprout/Meshy_AI_Sapling_with_a_Root_B_0709131443_texture_fbx/Meshy_AI_Sapling_with_a_Root_B_0709131443_texture_fbx/Meshy_AI_Sapling_with_a_Root_B_0709131443_texture.fbx
4031,5049,1,1,Meshy_AI_Banana_Tree_0424074148_texture,Assets/Models/BananaTree/Meshy_AI_Banana_Tree_0424074148_texture_fbx/Meshy_AI_Banana_Tree_0424074148_texture_fbx/Meshy_AI_Banana_Tree_0424074148_texture.fbx
3702,8220,1,1,Meshy_AI_Verdant_Sapling_0709130626_texture,Assets/Models/EggplantSprout/Meshy_AI_Verdant_Sapling_0709130626_texture_fbx/Meshy_AI_Verdant_Sapling_0709130626_texture_fbx/Meshy_AI_Verdant_Sapling_0709130626_texture.fbx
3336,3921,1,1,Meshy_AI_Ginger_sprout_0709122404_texture,Assets/Models/CoconutSprout/Meshy_AI_Ginger_sprout_0709122404_texture_fbx/Meshy_AI_Ginger_sprout_0709122404_texture_fbx/Meshy_AI_Ginger_sprout_0709122404_texture.fbx
3330,5156,1,1,Meshy_AI_Young_sapling_0709125832_texture,Assets/Models/DurianSprout/Meshy_AI_Young_sapling_0709125832_texture_fbx/Meshy_AI_Young_sapling_0709125832_texture_fbx/Meshy_AI_Young_sapling_0709125832_texture.fbx
3220,2602,1,1,Meshy_AI_Solitary_Wooden_Post_0722150135_texture,Assets/Models/SupportStake/Stick/Meshy_AI_Solitary_Wooden_Post_0722150135_texture_fbx/Meshy_AI_Solitary_Wooden_Post_0722150135_texture.fbx
